小时,温度,风力方向,风级,降水量,相对湿度,空气质量
01,15,北风,2,0,19,67
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
00,11,北风,2,0,62,
23,12,北风,3,0,55,44
22,12,北风,2,0,50,44
21,12,北风,2,0,52,43
20,12,东北风,2,0,50,43
19,13,东北风,1,0,48,42
18,13,东北风,2,0,45,42
17,13,东北风,2,0,46,42
16,14,东北风,2,0,42,42
15,14,北风,3,0,41,46
14,16,北风,2,0,29,50
13,16,东北风,2,0,32,49
12,15,东北风,2,0,36,46
11,14,北风,2,0,41,49
10,13,北风,3,0,42,54
09,15,东风,2,0,36,61
08,14,东风,2,0,34,63
07,14,东南风,3,0,48,64
06,14,东南风,2,0,40,60
05,13,北风,1,0,30,61
04,13,北风,1,0,32,60
03,14,东北风,1,0,25,62
02,15,北风,1,0,21,66
01,15,北风,2,0,19,67
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
23,12,北风,3,0,55,44
22,12,北风,2,0,50,44
21,12,北风,2,0,52,43
20,12,东北风,2,0,50,43
19,13,东北风,1,0,48,42
18,13,东北风,2,0,45,42
17,13,东北风,2,0,46,42
16,14,东北风,2,0,42,42
15,14,北风,3,0,41,46
14,16,北风,2,0,29,50
13,16,东北风,2,0,32,49
12,15,东北风,2,0,36,46
11,14,北风,2,0,41,49
10,13,北风,3,0,42,54
09,15,东风,2,0,36,61
08,14,东风,2,0,34,63
07,14,东南风,3,0,48,64
06,14,东南风,2,0,40,60
05,13,北风,1,0,30,61
04,13,北风,1,0,32,60
03,14,东北风,1,0,25,62
02,15,北风,1,0,21,66
01,15,北风,2,0,19,67
00,16,东北风,2,0,18,70
